Processed_Text,Word_Count,Lexical_Diversity,Score
سيك موسم اول موسم ياخذ اجاز مده سته اسابيع نوفمبر ديسمبر لسماح اول اس عالم شتوي،مع عود مباري يوم ملاكم,21,0.9523809523809523,10.0
ره قدمهيرياض جماعيهتلعب ريق يتك منهم احد عشر اعب تلعب كره مكور يلعب ره قدم ملي اعب اكثر مايتيدولهحول عالم، ذلك تكونالرياضهالاكثر شعب انتشار عالمتلعب ره قدم ملعب مستطيل شكل مرمي جانب هدف لعب احراز اهداف ركل كره داخل مرمى,52,0.8461538461538461,10.0
حارس مرمىهو لاعب وحيد يسمح ان يلمس كره يد او ذراعيه، شرط ان داخلمنطق جزاء يستخدم لاعب غير حارس ارجلهم غالب تسديد او تمرير كره يمكنهم ايض استخدام راسهم ضرب كره فريق يحرز اهداف اكثر فايز اذا احرز فريق اهداف متعادل نها مباراه، تك نتيج مبارا اما تعادل او تدخل مبارا نظام وقت اضاف اوالضرب ترجيحيهويعتمد نظام بطول ضعالاتحاد انجليز كره قدمقوان عبه ره قدمسن يانجلتر يتراس عبه ره قدم دولياالاتحاد دول كره قدم فيف تنظم طولهكاس عالملهذ رياض مره اربع سنو هي بطول اهم دولياتطور اسلوب عب ره قدم عبر تاريخ، كذل ضوابط القوان خاص ها، حتى صلت مرحل حال معروف كره قدم حديثه، تعد تركز علىالهجومواحراز عدد اكبر اهداف قدر اصبح تركز تكتي المهاره، هي تتمثل التنظيم عام يستخدم مدرب ريق ره قدم ضبط تحرك فريق داخل ملعب تحقيق نتيج مخطط ها,153,0.8235294117647058,10.0
ضعت قوان ره قدم انجلتر سنه استخدم اسم ره قدم اتحاد يميز لعب اقي العاب تحمل اسم ره قدم ايض وقت، خصوصاكر قدم رجب ظهر مصطلحسوكرف انجلترا، كان اول ظهور يثمانين قرن تاسع عشر، اختصار كلم اتحاد الانجليز هي اسوسياشنفيعالم متحدث الانجليزيه، تستخدم لمه ره قدم يالمملك متحده، حين تستخدم لمه سوكر ولاي متحد كند في دول اخرى مثل استرالي نيوزلند قد يستخدم احد مصطلح او لاهم,76,0.8552631578947368,10.0
نوع عاب ره قدم ثق جود تاريخي اوروب هيايبسكسروس،مناليون قديمهوهارباستوم،الت ظهر خلالالعهد رومان كلت لعبت تشبه ره قدم يتجمهر علي ناس هي غير مسجله، تلعب يها ره قدم حمل اليد اكثر من ركلهاوهنا عديد منافس قديم تقوم ركل ره عدد قليل بلدان، مثلالتسوجوفيالصينوهنا ايض عاب مشابه لكن غير تنافس مثلالكيماريف ياب الووغاباليريف استرالي تعتمد قوان حديث كره قدم جهود ذلت سط قرن تاسع عشر توحيد انواع مختلف كره قدم تلعب مدارسانجلتراالمحل يعود تاريخ ره قدم انجلتر قرن ثام اقل,97,0.7628865979381443,10.0
انلقوان امبردجالت ضعت سنه يجامع امبريدج، اثر ارز تطوير رموز لعب ره قدم قد تبت قوان امبردج يكل ثالوثم جامع سالف ذكر قاء مندوب ليه ايت مدرس هارو مدرسهالرجبيومدرس ينتشستر مدرس شروسبر غير ان هذه قوان تتبنى جامعي اثناء خمسين قرن تاسع عشر، تشكل عديد نواد غير مرتبط المدارس او جامع جميع انحاء عالم متحدث الانجليزيه، لترف منتسب عبر عب اشكال مختلف ره قدم هذه نواد ابتكر قوانين خاص لعبه، من ابرز ناد شيفيلد كره قدم،الذ اصبح نها مطاف جزء اتحاد شيفيلد هالمشير كره قدم سنه ابتكر جونز تشارلز ثرينغ عام مدرس ابنغهام مجموع قوان موثر لعب,114,0.8070175438596491,10.0
يحدد قوان لعب حاليامجلس اتحاد دول كره قدمشكل مجلس اتحاد دول عام اجتماع يمانشسترب اتحاد انجليزي،والاسكتلندي،والويلزيوالايرلند شمال اقدم منافس ره قدم عالم هيبطول اس اتحاد انجليزيالذ اوجدهتشارلز كوك، قد اخذ فرق انجليز تتنافس هذه بطول منذ سنه كان اول مبارا رسم دول اسكتلند انجلتر عام يغلاسكووكان ايض مساع كوك انجلتر موط اولدور ره قدمف عالم قد اوجد عام يبرمنغهامبواسطهويليام ماكغريغورموسس نادياست يلاتضم تشكيل اصل لدور اثن عشر نادي اراض وسطى انجلتراوالشمال تشكل فيف هي هي دول كره قدم اريس عام اعلن ان قد تتقيد قوان لعب ادت شعب لعب عظمى دخول مندوب فيف مجلس اتحاد دول سنه يتك مجلس حالي اربع مندوب منالفيفاومندوب احد اتحاد ريطان,122,0.7786885245901639,10.0
تلعب ره قدم يوم مستوي احتراف جميع انحاء عالم كثير يذهب ملاي ناس عاد استاد ره قدم تشجيع رقهم مفضله،على حين يشاهد مليار ناس مباري تلفاز او انترنتهنا ايض عدد بير ناس يلعب كره مستوي مبتد فقا مسح اجرت فيف سنه ان اكثر ملي شخص اكثر دول يلعب ره قدمتتمتع مباري ره قدم اعلى نسب مشاهد تلفزيون جميع رياض,74,0.7567567567567568,10.0
عديد انحاء عالم، تستحضر ره قدم حماس تلعب دور مهم حيا مشجع افراد المجتمع محليه، الدول ايض يقول ابوشنسك ان شخص مهذب الخجول اوروب تثار حماست لعب كره قدم او مشاهد مبارياتهاوم ابرز ادل دور تلعب هذه رياض حيا ناس الامم هدن ساهممنتخب ساحل عاج كره قدمف تامين خلالاحداث حرب اهل عاج اولىف عام ،ومساهمت تخفيف حده توتر حكوم قو ثوار سنه عبر عب مبارا عاصم ثواربواكي، امر اعتبر رصه جمع لا جيش سلام اول مرهف مقابل، ره قدم سبب مباشرلحرب ره قدمف يونيو ينالسلفادوروهندوراساثار ره قدم ايض توتر دايهحرب يوغسلافيااوايل تسعين قرن عشرين، عندم تحولتمباراهبينناد دينامو زغربوريد ستار لغرادالى اعمال شغب مايو,121,0.8429752066115702,10.0
تلعب ره قدم فقا قوان محدد تعرفبقوان لعب يستخدم لعب ره محيط سم تعرف كره قدم يتنافس ريق لعب منهم اعب، على ريق ان يدخل كره داخل مرمى فريق اخر قايم تحت عارض بهذ طريق يحرز هدف فريق يحرز اكبر عدد اهداف نها مبارا فايز ان احرز لا فريق عدد اهداف نفسه، او يحرز اي اهداف، حدث تعادل يقاد ريقبكابتنلد مهم رسم احد قط ما منصوص عل قوان لعب هي مشارك قرع رمي عمل دء مبارا اوضرب جزاء,95,0.8105263157894737,10.0
